Date,Sentence,Prediction,sentimentScore
2007-01-02,The retailer is determined to push energy-saving light bulbs with the help of some unlikely partners.,positive,0.8364450931549072
2007-01-02,Wal-Mart Puts Some Muscle Behind Power-Sipping Bulbs,neutral,0.06710520386695862
2007-01-03,Robert L. Nardelli was criticized for his pay package and failure to lift the chain’s stagnant stock price.,negative,-0.9467766284942627
2007-01-03,Embattled Chief Executive Resigns at Home Depot,negative,-0.7843955159187317
2007-01-03," Home Depot, the giant home-improvement chain, said Wednesday that Robert L. Nardelli resigned as its chairman and chief executive.",neutral,-0.38365739583969116
2007-01-03,"Mr. Nardelli’s departure, which the company said was part of a mutual agreement, comes amid mounting criticism of Home Depot’s executive compensation practices and its flagging stock price.",negative,-0.9250380992889404
2007-01-03,Home Depot’s Chief Resigns as Proxy Fight Looms,negative,-0.8120979070663452
2007-01-03," When you are carrying $210 million in goodies, it is hard to make a quiet exit.",neutral,-0.2944433093070984
2007-01-03,"This is especially true when you are Robert Nardelli, whose pay as the chief executive of Home Depot has long been a source of controversy.",neutral,-0.2364570051431656
2007-01-03,"Hours after his resignation was announced early Wednesday, there were some strong reactions to Mr. Nardelli’s severance package, which the company valued at $210 million.",positive,0.7177236080169678
2007-01-03,A Golden Goodbye for Home Depot Chief,positive,0.5161252617835999
2007-01-04,The departure of Home Depot’s chief was a victory for shareholders hoping to force corporate directors to be more accountable for executive pay.,negative,-0.1011582612991333
2007-01-04,A Warning Shot by Investors to Boards and Chiefs,negative,-0.4054684638977051
2007-01-04,The board decided that Robert L. Nardelli should go — with a $210 million exit package.,neutral,0.1311524659395218
2007-01-04,Home Depot Ousts Highly Paid Chief,negative,-0.6368944644927979
2007-01-04,"Robert L. Nardelli’s departure illustrates that even when investor voices are heard on executive pay, shareholders often wind up holding the bag.",neutral,-0.35853278636932373
2007-01-04,An Ousted Chief’s Going-Away Pay Is Seen by Many as Typically Excessive,negative,-0.6136451363563538
2007-01-04,General Electric has long been seen as a training ground for future C.E.O.’s.,neutral,0.06089362874627113
2007-01-04,"The ouster of Robert L. Nardelli, a G.E.",neutral,-0.09920792281627655
2007-01-04,"alumnus, may change that perception.",neutral,0.06327779591083527
2007-01-04,G.E.,neutral,0.04150601476430893
2007-01-04,"Magic Can Fade, After G.E.",neutral,-0.023438408970832825
2007-01-04," As shareholders, industry watchers and lawmakers continued to express outrage over the $210 million golden farewell that Home Depot awarded its ousted chief executive, Robert L. Nardelli, The New York Times takes a look at where it all began: General Electric, which has become a kind of high-end boutique where company directors go when they are looking for the cream of the crop in chief executives.",negative,-0.5472309589385986
2007-01-04,"Home Depot Moves Put G.E., Martin Lipton in Spotlight",neutral,0.03459958732128143
2007-01-04,Bob Nardelli could not see the value of good pay — at least for others.,neutral,-0.3757965564727783
2007-01-04,Nardelli’s Departure,neutral,-0.13965219259262085
2007-01-05,"When Robert L. Nardelli refused to accept a pay cut, he lost the crucial support of Kenneth G. Langone, a director at Home Depot.",negative,-0.9096767902374268
2007-01-05,A Director Decides to Override a Friendship,neutral,-0.06778247654438019
2007-01-05,An activist investor led the campaign against Home Depot’s management and strategy that culminated in the ouster of its chief executive.,negative,-0.8379167318344116
2007-01-05,"Gadflies Get Respect, and Not Just at Home Depot",neutral,0.07602851092815399
2007-01-05," Everyone who knows him says it: In a tough fight, Kenneth G. Langone is a guy you want in your corner.",neutral,-0.04445332661271095
